"datasetName","decimalLongitude","decimalLatitude","basisOfRecord","scientificName"
"gbif",118.622461,-20.325764,"HUMAN_OBSERVATION","Natator depressus"
"gbif",152.444098,-24.798836,"HUMAN_OBSERVATION","Natator depressus"
"gbif",122.335235,-18.087123,"HUMAN_OBSERVATION","Natator depressus"
"gbif",131.155533,-12.170445,"HUMAN_OBSERVATION","Natator depressus"
"gbif",130.416144,-12.536758,"HUMAN_OBSERVATION","Natator depressus"
"gbif",142.5,-12,"HUMAN_OBSERVATION","Natator depressus"
"gbif",122.24812,-17.988555,"HUMAN_OBSERVATION","Natator depressus"
"gbif",126.142054,-13.749829,"HUMAN_OBSERVATION","Natator depressus"
"gbif",130.418625,-12.538687,"HUMAN_OBSERVATION","Natator depressus"
"gbif",120.757726,-19.64896,"HUMAN_OBSERVATION","Natator depressus"
"gbif",120.782677,-19.691353,"HUMAN_OBSERVATION","Natator depressus"
"gbif",149.665453,-21.97928,"HUMAN_OBSERVATION","Natator depressus"
"gbif",149.665667,-21.977722,"HUMAN_OBSERVATION","Natator depressus"
"gbif",149.663218,-21.970713,"HUMAN_OBSERVATION","Natator depressus"
"gbif",118.666153,-20.202566,"HUMAN_OBSERVATION","Natator depressus"
"gbif",149.665413,-21.979809,"HUMAN_OBSERVATION","Natator depressus"
"gbif",152.44037,-24.794763,"HUMAN_OBSERVATION","Natator depressus"
"gbif",146.807595,-19.241663,"HUMAN_OBSERVATION","Natator depressus"
"gbif",149.665511,-21.980403,"HUMAN_OBSERVATION","Natator depressus"
"gbif",149.665572,-21.979736,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.93708,-23.17511,"HUMAN_OBSERVATION","Natator depressus"
"gbif",118.716589,-20.354451,"HUMAN_OBSERVATION","Natator depressus"
"gbif",149.196286,-21.060226,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.965908,-23.157008,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.803456,-23.293547,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.9346,-23.18051,"HUMAN_OBSERVATION","Natator depressus"
